trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,decay,alpha
27,False,"{'a': 0.6, 'e': 0.50915642060754851}",32,0,-104.668082338,"{0: 22, 1: 2, 2: 6, 3: 1, 4: 1}",0,-0.025,0.6
28,False,"{'a': 0.6, 'e': 0.49658530379140886}",32,14,-62.1162892624,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1,-0.025,0.6
29,False,"{'a': 0.6, 'e': 0.4843245689553618}",32,12,-72.5971121231,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",1,-0.025,0.6
30,False,"{'a': 0.6, 'e': 0.47236655274101402}",40,31,-1.74856878577,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1,-0.025,0.6
31,False,"{'a': 0.6, 'e': 0.46070378099896514}",40,0,-17.2433718256,"{0: 34, 1: 1, 2: 5, 3: 0, 4: 0}",0,-0.025,0.6
32,False,"{'a': 0.6, 'e': 0.4493289641172209}",32,11,-53.8028247847,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 1}",1,-0.025,0.6
33,False,"{'a': 0.6, 'e': 0.43823499246494851}",40,18,-6.23103888034,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1,-0.025,0.6
34,False,"{'a': 0.6, 'e': 0.42741493194872593}",32,23,-51.1007873928,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1,-0.025,0.6
35,False,"{'a': 0.6, 'e': 0.41686201967850767}",32,0,-44.2521473727,"{0: 24, 1: 4, 2: 3, 3: 1, 4: 0}",0,-0.025,0.6
36,False,"{'a': 0.6, 'e': 0.40656965974059839}",40,34,-0.599644312388,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1,-0.025,0.6
37,False,"{'a': 0.6, 'e': 0.39653141907499212}",32,16,15.6568266703,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1,-0.025,0.6
38,False,"{'a': 0.6, 'e': 0.38674102345450045}",32,21,-54.6546113318,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1,-0.025,0.6
39,False,"{'a': 0.6, 'e': 0.37719235356315617}",40,22,-5.06160871311,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1,-0.025,0.6
40,False,"{'a': 0.6, 'e': 0.36787944117144156}",40,2,-73.3099744249,"{0: 32, 1: 1, 2: 3, 3: 0, 4: 2}",1,-0.025,0.6
41,False,"{'a': 0.6, 'e': 0.35879646540595084}",48,15,-10.663875688,"{0: 31, 1: 0, 2: 1, 3: 0, 4: 1}",1,-0.025,0.6
42,False,"{'a': 0.6, 'e': 0.34993774911115461}",48,26,-10.4997449208,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1,-0.025,0.6
43,False,"{'a': 0.6, 'e': 0.34129775530099293}",40,22,-28.9786043315,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1,-0.025,0.6
44,False,"{'a': 0.6, 'e': 0.33287108369807883}",48,2,-46.1898112031,"{0: 40, 1: 1, 2: 3, 3: 1, 4: 1}",1,-0.025,0.6
45,False,"{'a': 0.6, 'e': 0.32465246735834902}",32,0,18.4413450076,"{0: 31, 1: 0, 2: 1, 3: 0, 4: 0}",0,-0.025,0.6
46,False,"{'a': 0.6, 'e': 0.3166367693790525}",32,11,5.65782767964,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1,-0.025,0.6
47,False,"{'a': 0.6, 'e': 0.30881897968801914}",48,0,-85.7286128275,"{0: 39, 1: 3, 2: 4, 3: 1, 4: 1}",0,-0.025,0.6
48,False,"{'a': 0.6, 'e': 0.30119421191220136}",32,0,-133.162797192,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 3}",0,-0.025,0.6
49,False,"{'a': 0.6, 'e': 0.2937577003235321}",40,21,-13.9138900872,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1,-0.025,0.6
50,False,"{'a': 0.6, 'e': 0.28650479686018937}",48,36,-5.86235551429,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1,-0.025,0.6
51,False,"{'a': 0.6, 'e': 0.27943096822140662}",40,0,-3.41106178197,"{0: 36, 1: 0, 2: 4, 3: 0, 4: 0}",0,-0.025,0.6
52,False,"{'a': 0.6, 'e': 0.27253179303401187}",48,17,-12.2440379491,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 1}",1,-0.025,0.6
53,False,"{'a': 0.6, 'e': 0.26580295908892587}",32,16,-44.6032502113,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1,-0.025,0.6
54,False,"{'a': 0.6, 'e': 0.25924026064589079}",40,20,-57.4788189765,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1,-0.025,0.6
55,False,"{'a': 0.6, 'e': 0.25283959580474574}",40,11,17.5900729912,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1,-0.025,0.6
56,False,"{'a': 0.6, 'e': 0.24659696394160574}",48,0,36.3067632107,"{0: 46, 1: 2, 2: 0, 3: 0, 4: 0}",0,-0.025,0.6
57,False,"{'a': 0.6, 'e': 0.24050846320834141}",32,7,17.4009819531,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1,-0.025,0.6
58,False,"{'a': 0.6, 'e': 0.23457028809379693}",48,33,-33.8701798708,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1,-0.025,0.6
59,False,"{'a': 0.6, 'e': 0.22877872704522173}",40,18,-11.4995143268,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1,-0.025,0.6
60,False,"{'a': 0.6, 'e': 0.22313016014842912}",40,16,11.1604014418,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1,-0.025,0.6
61,False,"{'a': 0.6, 'e': 0.21762105686523217}",32,18,-5.19548624615,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1,-0.025,0.6
62,False,"{'a': 0.6, 'e': 0.21224797382674235}",40,23,14.7847607097,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1,-0.025,0.6
63,False,"{'a': 0.6, 'e': 0.20700755268115192}",48,22,5.30575774301,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1,-0.025,0.6
64,False,"{'a': 0.6, 'e': 0.20189651799465472}",48,29,-15.0245149893,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1,-0.025,0.6
