trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,decay,alpha
23,False,"{'a': 0.1, 'e': 0.5399999999999996}",32,13,-52.9796145646,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1,0.02,0.1
24,False,"{'a': 0.1, 'e': 0.5199999999999996}",48,24,-58.5642055769,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 1}",1,0.02,0.1
25,False,"{'a': 0.1, 'e': 0.49999999999999956}",32,8,-28.0811167674,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1,0.02,0.1
26,False,"{'a': 0.1, 'e': 0.47999999999999954}",32,28,7.61083798724,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
27,False,"{'a': 0.1, 'e': 0.4599999999999995}",48,0,-178.666365839,"{0: 34, 1: 1, 2: 9, 3: 2, 4: 2}",0,0.02,0.1
28,False,"{'a': 0.1, 'e': 0.4399999999999995}",32,0,-125.584667409,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 3}",1,0.02,0.1
29,False,"{'a': 0.1, 'e': 0.4199999999999995}",32,0,-70.6903827165,"{0: 25, 1: 3, 2: 2, 3: 1, 4: 1}",0,0.02,0.1
30,False,"{'a': 0.1, 'e': 0.39999999999999947}",40,0,-78.7351443712,"{0: 35, 1: 0, 2: 3, 3: 0, 4: 2}",0,0.02,0.1
31,False,"{'a': 0.1, 'e': 0.37999999999999945}",40,32,-51.197685563,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1,0.02,0.1
32,False,"{'a': 0.1, 'e': 0.35999999999999943}",32,12,-20.28846107,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1,0.02,0.1
33,False,"{'a': 0.1, 'e': 0.3399999999999994}",40,29,17.1101582537,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
34,False,"{'a': 0.1, 'e': 0.3199999999999994}",32,10,-7.9156236918,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1,0.02,0.1
35,False,"{'a': 0.1, 'e': 0.2999999999999994}",32,21,4.03382783976,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1,0.02,0.1
36,False,"{'a': 0.1, 'e': 0.27999999999999936}",40,35,9.10155213735,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
37,False,"{'a': 0.1, 'e': 0.25999999999999934}",32,26,11.511885058,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
38,False,"{'a': 0.1, 'e': 0.23999999999999935}",40,0,-48.1282534959,"{0: 34, 1: 2, 2: 2, 3: 1, 4: 1}",0,0.02,0.1
39,False,"{'a': 0.1, 'e': 0.21999999999999936}",32,14,-79.0839761066,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 2}",1,0.02,0.1
40,False,"{'a': 0.1, 'e': 0.19999999999999937}",56,34,-33.8570299506,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 1}",1,0.02,0.1
41,False,"{'a': 0.1, 'e': 0.17999999999999938}",32,24,6.27254541711,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
